answer_text,answer_start,question,context,subject,Task
الكويت,237, - ما هي الحدود في الشمال الشرقي؟ ال,"السعودية ورسميًا المملكة العربية السعودية هي أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع. يحدها من الشمال العراق والأردن وتحدها الكويت من الشمال الشرقي، ومن الشرق تحدها كل من قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك فهد الواقع على الخليج العربي، ومن الجنوب تحدها اليمن، وعُمان من الجنوب الشرقي، كما يحدها البحر الأحمر من جهة الغرب.",السعودية,Factoid
قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك,284, - ما هي الحدود في الشرق؟ ,"السعودية ورسميًا المملكة العربية السعودية هي أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع. يحدها من الشمال العراق والأردن وتحدها الكويت من الشمال الشرقي، ومن الشرق تحدها كل من قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك فهد الواقع على الخليج العربي، ومن الجنوب تحدها اليمن، وعُمان من الجنوب الشرقي، كما يحدها البحر الأحمر من جهة الغرب.",السعودية,Non-factoid
أول تلك الكيانات إمارة الدرعية,143, - ما هي الكيانات الأولى في المملكة العربية السعودية؟ ,"حكم آل سعود تاريخيا في نجد ومناطق واسعة من الجزيرة العربية أكثر من مرة، وتعتبر المملكة السعودية الحالية نتاجًا ووارثة لتلك الكيانات التاريخية، أول تلك الكيانات إمارة الدرعية التي أسسها محمد بن سعود سنة 1157 هـ / 1744 وظلت حتى قاد إبراهيم باشا جيش والي مصر العثماني في حملة للقضاء عليها عام 1233 هـ / 1818م، ويشار إلى تلك المرحلة باسم ""الدولة السعودية الأولى""، ولكن لم يطل الوقت بعد سقوط الدولة الأولى حتى أقام تركي بن عبد الله بن محمد إمارة جديدة لآل سعود في نجد، اتخذت من الرياض عاصمة واستمرت حتى انتزع حكام إمارة حائل إمارة الرياض من آل سعود سنة 1308 هـ / 1891، ويشار إلى تلك المرحلة بـ""الدولة السعودية الثانية"". لاحقًا استرد عبد العزيز آل سعود الشاب سنة 1319 هـ / 1902 إمارة الرياض من يد آل رشيد، وتوسع مسيطرا على كامل نجد 1921 وتسمت بسلطنة نجد حتى نجح عبد العزيز بانتزاع مملكة الحجاز من يد الهاشميين، فنصب ملكا على الحجاز في يناير من عام 1926، وبعدها بعام غيّر لقبه من سلطان نجد إلى ملك نجد، وسميت المناطق التي يسيطر عليها مملكة الحجاز ونجد وملحقاتها، وظلت بذلك الاسم حتى وحد عبد العزيز جميع المناطق التي يسيطر عليها في كيان واحد، وكان ذلك في 1351 هـ / 23 سبتمبر 1932 وأُعلن اسمها ""المملكة العربية السعودية"".",السعودية,Factoid
محمد بن سعود,185, - من الذي أسس الكيانات الأولى في المملكة العربية السعودية؟ ال,"حكم آل سعود تاريخيا في نجد ومناطق واسعة من الجزيرة العربية أكثر من مرة، وتعتبر المملكة السعودية الحالية نتاجًا ووارثة لتلك الكيانات التاريخية، أول تلك الكيانات إمارة الدرعية التي أسسها محمد بن سعود سنة 1157 هـ / 1744 وظلت حتى قاد إبراهيم باشا جيش والي مصر العثماني في حملة للقضاء عليها عام 1233 هـ / 1818م، ويشار إلى تلك المرحلة باسم ""الدولة السعودية الأولى""، ولكن لم يطل الوقت بعد سقوط الدولة الأولى حتى أقام تركي بن عبد الله بن محمد إمارة جديدة لآل سعود في نجد، اتخذت من الرياض عاصمة واستمرت حتى انتزع حكام إمارة حائل إمارة الرياض من آل سعود سنة 1308 هـ / 1891، ويشار إلى تلك المرحلة بـ""الدولة السعودية الثانية"". لاحقًا استرد عبد العزيز آل سعود الشاب سنة 1319 هـ / 1902 إمارة الرياض من يد آل رشيد، وتوسع مسيطرا على كامل نجد 1921 وتسمت بسلطنة نجد حتى نجح عبد العزيز بانتزاع مملكة الحجاز من يد الهاشميين، فنصب ملكا على الحجاز في يناير من عام 1926، وبعدها بعام غيّر لقبه من سلطان نجد إلى ملك نجد، وسميت المناطق التي يسيطر عليها مملكة الحجاز ونجد وملحقاتها، وظلت بذلك الاسم حتى وحد عبد العزيز جميع المناطق التي يسيطر عليها في كيان واحد، وكان ذلك في 1351 هـ / 23 سبتمبر 1932 وأُعلن اسمها ""المملكة العربية السعودية"".",السعودية,Factoid
سنة 1157 هـ / 1744,198, - متى أسس محمد بن سعود أول كيانات في المملكة العربية السعودية؟ ال,"حكم آل سعود تاريخيا في نجد ومناطق واسعة من الجزيرة العربية أكثر من مرة، وتعتبر المملكة السعودية الحالية نتاجًا ووارثة لتلك الكيانات التاريخية، أول تلك الكيانات إمارة الدرعية التي أسسها محمد بن سعود سنة 1157 هـ / 1744 وظلت حتى قاد إبراهيم باشا جيش والي مصر العثماني في حملة للقضاء عليها عام 1233 هـ / 1818م، ويشار إلى تلك المرحلة باسم ""الدولة السعودية الأولى""، ولكن لم يطل الوقت بعد سقوط الدولة الأولى حتى أقام تركي بن عبد الله بن محمد إمارة جديدة لآل سعود في نجد، اتخذت من الرياض عاصمة واستمرت حتى انتزع حكام إمارة حائل إمارة الرياض من آل سعود سنة 1308 هـ / 1891، ويشار إلى تلك المرحلة بـ""الدولة السعودية الثانية"". لاحقًا استرد عبد العزيز آل سعود الشاب سنة 1319 هـ / 1902 إمارة الرياض من يد آل رشيد، وتوسع مسيطرا على كامل نجد 1921 وتسمت بسلطنة نجد حتى نجح عبد العزيز بانتزاع مملكة الحجاز من يد الهاشميين، فنصب ملكا على الحجاز في يناير من عام 1926، وبعدها بعام غيّر لقبه من سلطان نجد إلى ملك نجد، وسميت المناطق التي يسيطر عليها مملكة الحجاز ونجد وملحقاتها، وظلت بذلك الاسم حتى وحد عبد العزيز جميع المناطق التي يسيطر عليها في كيان واحد، وكان ذلك في 1351 هـ / 23 سبتمبر 1932 وأُعلن اسمها ""المملكة العربية السعودية"".",السعودية,Factoid
"تقع في الركن الشمالي الشرقي من قارة أفريقيا،",63, - أين تقع مصر؟ ال,"مِصرَ أو (رسمياً: جُمهورِيّةُ مِصرَ العَرَبيّةِ) هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا، ولديها امتداد آسيوي، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات، قُدّر عدد سكانها بـ104 مليون نسمة، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا.",مصر,Factoid
حيث تقع شبه جزيرة سيناء داخل,129, - أين تقع شبه جزيرة سيناء؟ ال,"مِصرَ أو (رسمياً: جُمهورِيّةُ مِصرَ العَرَبيّةِ) هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا، ولديها امتداد آسيوي، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات، قُدّر عدد سكانها بـ104 مليون نسمة، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا.",مصر,Factoid
"قُدّر عدد سكانها بـ104 مليون نسمة،",192, - ما هو عدد سكان شبه جزيرة سيناء؟ ال,"مِصرَ أو (رسمياً: جُمهورِيّةُ مِصرَ العَرَبيّةِ) هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا، ولديها امتداد آسيوي، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات، قُدّر عدد سكانها بـ104 مليون نسمة، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا.",مصر,Factoid
"1115 كم،",502, - ما طول الحدود الليبية؟ ال,"مِصرَ أو رسمياً جُمهورِيةُ مِصرَ العَرَبيةِ هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا، ولديها امتداد آسيوي، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات، قُدّر عدد سكانها بـ104 مليون نسمة، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا. ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين (إسرائيل وقطاع غزة) بطول 265 كم، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم. بالإضافة إلى حدودها البحرية مع السعودية شرقا وقبرص واليونان شمالا. تبلغ مساحة جمهورية مصر العربية حوالي 1.002.000 كيلومتر مربع والمساحة المأهولة تبلغ 78990 كم2 بنسبة 7.8 % من المساحة الكلية. وتُقسم مصر إدارياً إلى 27 محافظة، وتنقسم كل محافظة إلى تقسيمات إدارية أصغر وهي المراكز أو الأقسام.",مصر,Factoid
مع السودان,521, - ما هي أطول حدود برية؟ ال,"مِصرَ أو رسمياً جُمهورِيةُ مِصرَ العَرَبيةِ هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا، ولديها امتداد آسيوي، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات، قُدّر عدد سكانها بـ104 مليون نسمة، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا. ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين (إسرائيل وقطاع غزة) بطول 265 كم، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم. بالإضافة إلى حدودها البحرية مع السعودية شرقا وقبرص واليونان شمالا. تبلغ مساحة جمهورية مصر العربية حوالي 1.002.000 كيلومتر مربع والمساحة المأهولة تبلغ 78990 كم2 بنسبة 7.8 % من المساحة الكلية. وتُقسم مصر إدارياً إلى 27 محافظة، وتنقسم كل محافظة إلى تقسيمات إدارية أصغر وهي المراكز أو الأقسام.",مصر,Factoid
حوالي 1.002.000 كيلومتر مربع,664, - ما هي مساحة جمهورية مصر العربية؟ ال,"مِصرَ أو رسمياً جُمهورِيةُ مِصرَ العَرَبيةِ هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا، ولديها امتداد آسيوي، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات، قُدّر عدد سكانها بـ104 مليون نسمة، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا. ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين (إسرائيل وقطاع غزة) بطول 265 كم، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم. بالإضافة إلى حدودها البحرية مع السعودية شرقا وقبرص واليونان شمالا. تبلغ مساحة جمهورية مصر العربية حوالي 1.002.000 كيلومتر مربع والمساحة المأهولة تبلغ 78990 كم2 بنسبة 7.8 % من المساحة الكلية. وتُقسم مصر إدارياً إلى 27 محافظة، وتنقسم كل محافظة إلى تقسيمات إدارية أصغر وهي المراكز أو الأقسام.",مصر,Factoid
مصر في وادي النيل وفي الحضر,17, - أين تتركز الغالبية العظمى من سكان مصر؟ ال,"ويتركز أغلب سكان مصر في وادي النيل وفي الحضر ويشكل وادي النيل والدلتا أقل من 4% من المساحة الكلية للبلاد أي حوالي 33000 كم2، وأكبر الكتل السكانية هي القاهرة الكبرى التي بها تقريباً ربع السكان، تليها الإسكندرية؛ كما يعيش أغلب السكان الباقين في الدلتا وعلى ساحلي البحر المتوسط والبحر الأحمر ومدن قناة السويس، وتشغل هذه الأماكن ما مساحته 40 ألف كيلومتر مربع. بينما تشكل الصحراء غير المعمورة غالبية مساحة البلاد.",مصر,Factoid
"أقل من 4% من المساحة الكلية للبلاد أي حوالي 33000 كم2،",70, - ما المساحة التي يشكلها وادي النيل والدلتا؟ ال,"ويتركز أغلب سكان مصر في وادي النيل وفي الحضر ويشكل وادي النيل والدلتا أقل من 4% من المساحة الكلية للبلاد أي حوالي 33000 كم2، وأكبر الكتل السكانية هي القاهرة الكبرى التي بها تقريباً ربع السكان، تليها الإسكندرية؛ كما يعيش أغلب السكان الباقين في الدلتا وعلى ساحلي البحر المتوسط والبحر الأحمر ومدن قناة السويس، وتشغل هذه الأماكن ما مساحته 40 ألف كيلومتر مربع. بينما تشكل الصحراء غير المعمورة غالبية مساحة البلاد.",مصر,Non-factoid
هي القاهرة الكبرى,146, - ما المدينة التي بها أكبر عدد من السكان؟ ال,"ويتركز أغلب سكان مصر في وادي النيل وفي الحضر ويشكل وادي النيل والدلتا أقل من 4% من المساحة الكلية للبلاد أي حوالي 33000 كم2، وأكبر الكتل السكانية هي القاهرة الكبرى التي بها تقريباً ربع السكان، تليها الإسكندرية؛ كما يعيش أغلب السكان الباقين في الدلتا وعلى ساحلي البحر المتوسط والبحر الأحمر ومدن قناة السويس، وتشغل هذه الأماكن ما مساحته 40 ألف كيلومتر مربع. بينما تشكل الصحراء غير المعمورة غالبية مساحة البلاد.",مصر,Factoid
أَبُو القَاسِم مُحَمَّد بنِ عَبد الله بنِ عَبدِ المُطَّلِب,0, - من هو رسول الله؟ ال,"أَبُو القَاسِم مُحَمَّد بنِ عَبد الله بنِ عَبدِ المُطَّلِب (22 أبريل 571 - 8 يونيو 632) يُؤمن المسلمون بأنَّه رسول الله إلى الإنس والجن؛ ليعيدهم إلى توحيد الله وعبادته شأنه شأن كل الأنبياء والمُرسَلين، وهو خاتمهم، وأُرسِل للنَّاس كافَّة، ويؤمنون أيضا بأنّه أشرف المخلوقات وسيّد البشر، كما يعتقدون فيه العِصمة.",محمد,Factoid
ليعيدهم إلى توحيد الله,137, - لماذا يرسل الله رسوله؟ ال,"أَبُو القَاسِم مُحَمَّد بنِ عَبد الله بنِ عَبدِ المُطَّلِب (22 أبريل 571 - 8 يونيو 632) يُؤمن المسلمون بأنَّه رسول الله إلى الإنس والجن؛ ليعيدهم إلى توحيد الله وعبادته شأنه شأن كل الأنبياء والمُرسَلين، وهو خاتمهم، وأُرسِل للنَّاس كافَّة، ويؤمنون أيضا بأنّه أشرف المخلوقات وسيّد البشر، كما يعتقدون فيه العِصمة.",محمد,Factoid
أَبُو القَاسِم مُحَمَّد بنِ عَبد الله بنِ عَبدِ المُطَّلِب,0, - من هو سيد الرجال؟ ال,"أَبُو القَاسِم مُحَمَّد بنِ عَبد الله بنِ عَبدِ المُطَّلِب (22 أبريل 571 - 8 يونيو 632) يُؤمن المسلمون بأنَّه رسول الله إلى الإنس والجن؛ ليعيدهم إلى توحيد الله وعبادته شأنه شأن كل الأنبياء والمُرسَلين، وهو خاتمهم، وأُرسِل للنَّاس كافَّة، ويؤمنون أيضا بأنّه أشرف المخلوقات وسيّد البشر، كما يعتقدون فيه العِصمة.",محمد,Factoid
«صلى الله عليه وسلم»,346, - ما هي العبارة التي يلحقها المسلمون عند ذكر الاسم؟ ال,"أَبُو القَاسِم مُحَمَّد بنِ عَبد الله بنِ عَبدِ المُطَّلِب (22 أبريل 571 - 8 يونيو 632) يُؤمن المسلمون بأنَّه رسول الله إلى الإنس والجن؛ ليعيدهم إلى توحيد الله وعبادته شأنه شأن كل الأنبياء والمُرسَلين، وهو خاتمهم، وأُرسِل للنَّاس كافَّة، ويؤمنون أيضا بأنّه أشرف المخلوقات وسيّد البشر، كما يعتقدون فيه العِصمة. عند ذكر اسمه، يُلحِق المسلمون عبارة «صلى الله عليه وسلم» مع إضافة «وآله» و«وصحبه» في بعض الأحيان، لِمَا جاء في القرآن والسنة النبوية مما يحثهم على الصلاة عليه. .ترك محمد أثرًا كبيرًا في نفوس المسلمين، وكثرت مظاهر محبّتهم وتعظيمهم له باتباعهم لأمره وأسلوب حياته وتعبده لله، واحتفالهم بمولده في شهر ربيع الأول، وقيامهم بحفظ أقواله وأفعاله وصفاته وجمع ذلك في كتب عُرفت بكتب السّيرة والحديث النبوي. اعتبره الكاتب اليهودي مايكل هارت أعظم الشخصيّات أثرًا في تاريخ الإنسانية كلّها باعتباره «الإنسان الوحيد في التاريخ الذي نجح نجاحًا مطلقًا على المستوى الديني والدنيوي».",محمد,Factoid
"في نفوس المسلمين،",493, - أين أعطى محمد (صلى الله عليه وسلم) تأثيرا كبيرا؟ ال,"أَبُو القَاسِم مُحَمَّد بنِ عَبد الله بنِ عَبدِ المُطَّلِب (22 أبريل 571 - 8 يونيو 632) يُؤمن المسلمون بأنَّه رسول الله إلى الإنس والجن؛ ليعيدهم إلى توحيد الله وعبادته شأنه شأن كل الأنبياء والمُرسَلين، وهو خاتمهم، وأُرسِل للنَّاس كافَّة، ويؤمنون أيضا بأنّه أشرف المخلوقات وسيّد البشر، كما يعتقدون فيه العِصمة. عند ذكر اسمه، يُلحِق المسلمون عبارة «صلى الله عليه وسلم» مع إضافة «وآله» و«وصحبه» في بعض الأحيان، لِمَا جاء في القرآن والسنة النبوية مما يحثهم على الصلاة عليه. .ترك محمد أثرًا كبيرًا في نفوس المسلمين، وكثرت مظاهر محبّتهم وتعظيمهم له باتباعهم لأمره وأسلوب حياته وتعبده لله، واحتفالهم بمولده في شهر ربيع الأول، وقيامهم بحفظ أقواله وأفعاله وصفاته وجمع ذلك في كتب عُرفت بكتب السّيرة والحديث النبوي. اعتبره الكاتب اليهودي مايكل هارت أعظم الشخصيّات أثرًا في تاريخ الإنسانية كلّها باعتباره «الإنسان الوحيد في التاريخ الذي نجح نجاحًا مطلقًا على المستوى الديني والدنيوي».",محمد,Factoid
«الإنسان الوحيد في التاريخ الذي نجح نجاحًا مطلقًا على,793, - ماذا قال الكاتب اليهودي مايكل هارت عن محمد (صلى الله عليه وسلم)؟ ال,"أَبُو القَاسِم مُحَمَّد بنِ عَبد الله بنِ عَبدِ المُطَّلِب (22 أبريل 571 - 8 يونيو 632) يُؤمن المسلمون بأنَّه رسول الله إلى الإنس والجن؛ ليعيدهم إلى توحيد الله وعبادته شأنه شأن كل الأنبياء والمُرسَلين، وهو خاتمهم، وأُرسِل للنَّاس كافَّة، ويؤمنون أيضا بأنّه أشرف المخلوقات وسيّد البشر، كما يعتقدون فيه العِصمة. عند ذكر اسمه، يُلحِق المسلمون عبارة «صلى الله عليه وسلم» مع إضافة «وآله» و«وصحبه» في بعض الأحيان، لِمَا جاء في القرآن والسنة النبوية مما يحثهم على الصلاة عليه. .ترك محمد أثرًا كبيرًا في نفوس المسلمين، وكثرت مظاهر محبّتهم وتعظيمهم له باتباعهم لأمره وأسلوب حياته وتعبده لله، واحتفالهم بمولده في شهر ربيع الأول، وقيامهم بحفظ أقواله وأفعاله وصفاته وجمع ذلك في كتب عُرفت بكتب السّيرة والحديث النبوي. اعتبره الكاتب اليهودي مايكل هارت أعظم الشخصيّات أثرًا في تاريخ الإنسانية كلّها باعتباره «الإنسان الوحيد في التاريخ الذي نجح نجاحًا مطلقًا على المستوى الديني والدنيوي».",محمد,Non-factoid
في مكة.,448, - أين ولد؟ ال,"وُلد في مكة في شهر ربيع الأول من عام الفيل قبل ثلاث وخمسين سنة من الهجرة (هجرته من مكة إلى المدينة)، ما يوافق سنة 570 أو 571 ميلادياً و52 ق هـ. ولد يتيم الأب، وفقد أمه في سنّ مبكرة فتربى في كنف جده عبد المطلب، ثم من بعده عمه أبي طالب حيث ترعرع، وكان في تلك الفترة يعمل بالرعي ثم بالتجارة. تزوج في سنِّ الخامسة والعشرين من خديجة بنت خويلد وأنجب منها كل أولاده باستثناء إبراهيم. كان قبل الإسلام يرفض عبادة الأوثان والممارسات الوثنية التي كانت منتشرة في مكة. ويؤمن المسلمون أن الوحي نزل عليه وكُلّف بالرسالة وهو ذو أربعين سنة، أمر بالدعوة سرًا لثلاث سنوات، قضى بعدهنّ عشر سنوات أُخَر في مكة مجاهرًا بدعوة أهلها، وكل من يرد إليها من التجار والحجيج وغيرهم. هاجر إلى المدينة المنورة والمسماة يثرب آنذاك عام 622م وهو في الثالثة والخمسين من عمره بعد أن تآمر عليه سادات قريش ممن عارضوا دعوته وسعوا إلى قتله، فعاش فيها عشر سنين أُخر داعيًا إلى الإسلام، وأسس بها نواة الحضارة الإسلامية، التي توسعت لاحقًا وشملت مكة وكل المدن والقبائل العربية، حيث وحَّد العرب لأول مرة على ديانة توحيدية ودولة موحدة، ودعا لنبذ العنصرية والعصبية القبلية.",محمد,Factoid
