answer_text,answer_start,question,context,subject,Task
أدولف هتلر,150,من رئيس ألمانيا النازية في الحرب العالمية الثانية؟,"Coordinates:   ألمانيا النازية  هو اسم شائع غير رسمي يطلق على ألمانيا في الفترة الممتدة من عام 1933 حتى عام 1945، نسبة الى اسم الحزب النازي عندما كان أدولف هتلر وحزبه يحكمان ألمانيا دكتاتورياً. تحولت ألمانيا - تحت حكم نظام هتلر - إلى دولة فاشية استولى فيها الحزب النازي على البلاد وسيطر بشمولية على جميع جوانب الحياة تقريبا. بينما كان الاسم الرسمي للدولة الرايخ الألماني ""ديوتشس رايش"" من سنة 1933 حتى 1943 و""غروديوتشس رايش"" الرايخ الألماني الأكبر من 1943 إلى 1945. هذه الفترة معروفة أيضا باسم أسماء الرايخ الثالث (الألمانية: دريتس رايش) أو الفترة الاشتراكية الوطنية (الألمانية: زيت ديس ناتيونسوزياليسموس، مختصر باسم نس-زيت). انتهى النظام النازي بعد أن هزمت  ألمانيا في مايو 1945، مما أنهى الحرب العالمية الثانية في أوروبا.",ألمانيا النازية,Factoid
خطوط الأشعة الصادرة من جسم أسود عند درجة حرارة معينة,162,ما هو الطّيف الكهرومغناطيسي؟," الطّيف الكهرومغناطيسي مصطلح عام يشمل جميع الترددات الممكنة من الإشعاعات الكهرومغناطيسية .[1][2][3] و يُعرَف الطّيف الكهرومغناطيسي ايضاً (يسمى عادة بالطّيف فقط) بخطوط الأشعة الصادرة من جسم أسود عند درجة حرارة معينة ( لكل خط طول موجة معينة وتردد معين). لكل عنصر كيميائي طيف يميزه، أي له مجموعة خطوط متسلسلة تميزه عن غيره، ويسمى هذا الطيف ""طيف انبعاث"". يتغير طيف الأشعة المنبعثة من جسم بتغير درجة حرارة الجسم، ويُختار اللون الأسود بالذات لأنه ""مثالي"" في امتصاص الأشعة ومثالي أيضا في إصدار الأشعة. يكون طيف العناصر عادة في نطاق الضوء المرئي. ",طيف كهرومغناطيسي,Non-factoid
جنوب إيطاليا,31,أين تقع مدينة بينيفنتو؟,"  بنفنتو[1] أو بينيفنتو  مدينة جنوب إيطاليا في إقليم كامبانيا، عاصمة مقاطعة بينيفنتو عدد سكانها 63.026 نسمة، تقع بين نهري ساباتو وكالوري إربينو، محاطة بجبال الأبينيني، تاريخها يرجع إلى عصر الإغريق.",بينيفنتو,Factoid
تسجيل وتبويب المدخلات والعمليات التي تمثل الأحداث الاقتصادية وفق نظام معين,16,ما هي المحاسبة المالية ؟,"   المحاسبة  هي تسجيل وتبويب المدخلات والعمليات التي تمثل الأحداث الاقتصادية وفق نظام معين، المعلومات المالية المستخدمة بشكل أساسي من المدراء والمستثمرين والجهات الضريبية ومتخذي القرارات الآخرين، بهدف توزيع الموارد ضمن المؤسسات والشركات أو المنظمات أو الحكومة.[1][2][3] تم اشتقاق اسم المحاسبة من استخدام كلمة الحساب مالي.",محاسبة,Non-factoid
قرية العوجة,1217,اين ولد صدام حسين؟,"ولد صدام بن حسين بن مجيدَ بن عبدَ الغفور بن سليمان بن عبدَ القادر بن السيد الأمير عمر الثاني أمير تكريت، ابن السيد بكر بن السيد الأمير عمر الأول، ابن السيد الأمير شبيب ابن السيد الأمير حسن بن السيد الأمير علي، ابن السيد الأمير حسن، ابن السيد الأمير ناصر الدين العراقي- أمير البصرة وأمير قبائل عبادة، يمتد انتشارها من العراق وحتى الشام – ابن السيد حسين العراقي، ابن السيد إبراهيم العربي، ابن السيد محمود، ابن السيد عبد الرحمن شمس الدين، ابن السيد عبد الله قاسم نجم الدين المبارك، ابن السيد محمد خزام السليم، ابن السيد شمس الدين عبد الكريم أبي محمد الواسطي، ابن السيد صالح عبد الرزاق، ابن شمس الدين محمد، ابن السيد صدر الدين علي، ابن السيد أبي علي أحمد عز الدين الصياد، ابن سيدنا القطب السيد عبد الرحيم ممهد الدولة، ابن السيد سيف الدين عثمان ، ابن السيد حسين، ابن السيد محمد عسلة، ابن السيد حازم علي أبو الفوارس، ابن السيد أحمد، ابن السيد علي، ابن السيد رفاعه الحسن المكي نزيل المغرب، ابن السيد المهدي، ابن السيد أبي القاسم محمد، ابن السيد الحسن القاسم، ابن السيد الحسين، ابن السيد أحمد الأكبر، ابن السيد موسى الثاني، ابن الإمام إبراهيم المرتضى، ابن الإمام موسى الكاظم، ابن الإمام جعفر الصادق، ابن الإمام محمد الباقر، ابن الإمام علي زين العابدين، ابن الإمام الحسين الشهيد، ابن أمير المؤمنين علي بن أبي طالب [11][12] في قرية العوجة التي تبعد 23 كم عن مدينة تكريت الواقعة شمال غرب بغداد والتابعة لمحافظة صلاح الدين،[4] لعائلة تمتهن الزراعة. توفي والده قبل ولادته بستة أشهر وتعددت الأقاويل التي فسرت سبب وفاته ما بين وفاة لأسباب طبيعية أو مقتله على أيدي قطاع الطرق.[13] بعدها بفترة قصيرة توفي الأخ الأكبر لصدام وهو في الثالثة عشرة بعد إصابته بالسرطان.[14]",صدام حسين,Factoid
بين 500 إلى 600,38,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,يتراوح عدد بيوضه التي تضعها الانثى ما بين 500 إلى 600 بيضه ويقوم الذكر بتخصيبها وحمايتها ل6 اسابيع.تفقس البيوض ويخرج الصغار ولها خياشم تضمر بمرور الوقت ويحل محلها الرئتان.يبلغ طولها سنتمترين ونصف وتصبح مثل والديها حتى بلوغها 3 سنوات. تبقى في معظم الوقت تحت الماء ولاتخرج حتى تكبر.,سلمندر,Factoid
محاولةً للحد من نفوذه وحماية امتيازاتهم قانونياً,92,لماذا وقع  الميثاق الأعظم أو الماجنا كارتا؟,"كانت الماجنا كارتا أول وثيقة تُفرض على ملك إنجليزي من مجموعة من رعاياه (و هم البارونات)، في محاولةً للحد من نفوذه وحماية امتيازاتهم قانونياً، ولم تكن الماجنا كارتا أول ميثاق للحد من سلطة الملك فقد سبق هذا الميثاق ميثاق آخر للحريات عام 1100م وتأثر به تأثراً مباشرًا وكان ذلك في عهد الملك هنري الأول، وبالرغم من أن للميثاق أهميةً لا يختلف عليها اثنان، إلا أن بحلول النصف الثاني من القرن التاسع عشر ألغيت معظم البنود التي كانت في قالبها الأصلي وبقيت ثلاثة بنود كجزء من قانون إنجلترا وويلز، وتعتبر عادةً كجزء من الدستور غير المدون.",الوثيقة العظمى,Non-factoid
عنابة,1,ما هي المدينة التي تحوي على أكبر مصنع للحديد والصلب في أفريقيا؟,"وعنابة اليوم مدينة زاهرة ومركز صناعي مهم، تضم صرحا من أهم صروح الصناعة الجزائرية وبها خام للحديد والفولاذ الذي يمتد على مساحة 1700 هكتار وينتج 12 مليون طن سنويا من الحديد والفولاذ يشتغل فيه 45 ألف عامل، كما توجد بها مصانع مهمة أخرى كمصنع الأسمدة الفوسفاتية ومعمل الزئبق، والعديد من مصانع المواد الغذائية التي تحول المنتجات الزراعية التي ينتجها سهل عنابة إلى مواد صناعية",عنابة,Factoid
كاثرين صوفي فاينر,2,من هي أول امرأة تتقلد منصب رئيسة تحرير صحيفة الغارديان خلفًا لآلان روسبيرجير؟,"  كاثرين صوفي فاينر (من مواليد يناير 1971[1][2]) هي صحفية وكاتبة مسرحية بريطانية. في 1 يونيو 2015 أصبحت أول امرأة تتقلد منصب رئيسة تحرير صحيفة الغارديان خلفًا لآلان روسبيرجير[3][4] بعد أن ترأست سابقا عمليات الويب الخاصة بالغارديان في أستراليا والولايات المتحدة، قبل أن يتم اختيارها لمنصب رئيس تحرير الجريدة العريقة[5].",كاثرين فاينر,Factoid
علوى مصطفى (من حى مصر الجديدة) وإسماعيل طنطاوي (من حى المنيل) ونبيل البرعي,81,من هو مؤسس حركة الجهاد الاسلامي في مصر؟,"نشأت أول مجموعة جهادية في مصر حوالى عام 1964 بالقاهرة وكان أبرز مؤسسيها ثلاثة هم علوى مصطفى (من حى مصر الجديدة) وإسماعيل طنطاوي (من حى المنيل) ونبيل البرعي (من حى المعادى) وكانوا جميعاً طلبة في الثانوية العامة وقتها, ولقد تخرج إسماعيل من كلية الهندسة بجامعة الأزهر فيما بعد, كما تخرج علوى من كلية الهندسة أيضاً, بينما تأخر نبيل البرعى دراسياً ثم التحق بكلية الأداب بجامعة بيروت.[3]",جماعة الجهاد الإسلامي المصرية,Non-factoid
4 نوفمبر 1995,78,في أي عام توفي إسحاق رابين؟," إسحاق رابين (بالعبرية: יִצְחָק רַבִּין - يلفظ: يتسحاك رابين)، (1 مارس 1922 - 4 نوفمبر 1995) سياسي إسرائيلي وجنرال عسكري سابق في الجيش الإسرائيلي ورئيس وزراء إسرائيل، يُعد من أبرز الشخصيات الإسرائيلية وأحد أهم متخذي القرارات في الشؤون الخارجية، العسكرية والأمنية في إسرائيل.[1]",إسحاق رابين,Factoid
فرنسي,32,ما هي جنسية الفيلسوف ميشال فوكو؟,"ميشال فوكو (1926 - 1984) فيلسوف فرنسي، يعتبر من أهم فلاسفة النصف الأخير من القرن العشرين، تأثر بالبنيويين ودرس وحلل تاريخ الجنون في كتابه ""تاريخ الجنون"", وعالج مواضيع مثل الإجرام والعقوبات والممارسات الاجتماعية في السجون. ابتكر مصطلح ""أركيولوجية المعرفة"". أرّخ للجنس أيضاً من ""حب الغلمان عند اليونان"" وصولاً إلى معالجاته الجدلية المعاصرة كما في ""تاريخ الجنسانية"".",ميشال فوكو,Factoid
6 فبراير 1911,21,في أي عام ولد رونالد ريغان؟,"رونالد ويلسون ريغان (6 فبراير 1911 – 5 يونيو 2004) هو سياسي وممثل أمريكي راحل شغل منصب الرئيس الأربعين للولايات المتحدة في الفترة من 1981 إلى 1989. وقبل رئاسته كان حاكم ولاية كاليفورنيا الثالث والثلاثين بين عامي 1967 و 1975، بعد مسيرة كممثل في هوليوود ورئيس نقابة ممثلي الشاشة.",رونالد ريغان,Factoid
1 مارس 1878م,29,في أي عام  تأسس نادي مانشستر يونايتد لكرة القدم؟,تأسس نادي مانشستر يونايتد في 1 مارس 1878م وكان يسمى النادي آنذاك باسم نويتن هيث سكة حديد لانكشاير ويوركشاير وتم تأسيسه من قبل مجموعة من عمال سكة حديد في مانشستر وتم إختصار الاسم بعد ذلك إلى نيوتن هيث وإنضموا إلى الدوري الإنجليزي الممتاز في 1892م واجه النادي الإفلاس عام 1902م ولكن جون هنري ديفيز أنقذ النادي ودفع الديون وغير الاسم إلى مانشستر يونايتد وغير ألوان الفريق من الذهبي والأخضر إلى الأحمر والأبيض وفاز النادي بالدوري عام 1908م وبالمعونة المالية من ديفيز إنتقل النادي إلى الملعب الجديد ملعب أولد ترافورد في 1909م وعين اليونايتد السير مات بسبي كمدرب للفريق بعد الحرب العالمية الثانية وكانت سياسته التي تعتمد على لاعبين من نادي الشباب جلبت نجاحاً عظيماً للنادي وفاز الفريق بالدوري عامين 1956م و1957م لكن هذا النجاح تأثر بعد كارثة ميونخ الجوية عام 1958م ومات 8 من لاعبين الفريق لكن عندما تعافى السير بسبي من إصابته جراء حادثة ميونخ بنى فريقاً عظيماً آخر إستطاع الفوز بالدوري عامين 1965م و1967م ومن ثم أصبح مانشستر يونايتد أول نادي إنجليزي يفوز بدوري الإبطال عام 1968م بعد الفوز على بنفيكا في النهائي ولم يرى النادي نجاح عظيم مرة أخرى حتى التسعينيات عندما قاد السير أليكس فيرغسون الفريق إلى 8 بطولات دوري في إحدى عشرة سنة وفي 1999م أصبح مانشستر يونايتد أول فريق يفوز بالدوري وكأس إنجلترا ودوري أبطال أوروبا في موسم واحد.,مانشستر يونايتد,Factoid
2000,35,متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟,"أقيمت النسخة الأولى من بطولاته عام 2000 في العاصمة الأردنية، كما شارك اليمن في النسخة الخامسة منها في طهران بصفته عضواً، فيما شاركت قطر وعمان لأول مرة أيضاً دون أن تكونا عضوين في اتحاد غرب آسيا.",اتحاد غرب آسيا لكرة القدم,Factoid
1962,105,متى تاسس الجيش اليمني؟,"تأسس الجيش النظامي للمملكة المتوكلية في 1919، وبدأ تأسيس الجيش الجمهوري في الجمهورية العربية اليمنية عام 1962 وذلك بقيام ثورة 26 سبتمبر أما جيش دولة الجنوب جمهورية اليمن الديمقراطية الشعبية فقد تأسس الجيش الاتحادي في 1959 قبل قيام ثورة 14 أكتوبر والاستقلال بعدة سنوات، تعثر دمج الجيشين فعلياً بعد قيام الوحدة اليمنية 1990 لأسباب سياسية، وبعد حرب صيف 1994 الأهلية، توحد الموالون للوحدة ضد الموالين للانفصال ولم يعد هناك جيشان بعد ذلك .",القوات المسلحة اليمنية,Factoid
1023 م,189,كم يبلغ أقصى عمق لبحر قزوين؟,"بَحَر قَزْوِينْ  هو بحر مغلق يقع في غرب آسيا على مساحة تبلغ 371,000 كيلو متر مربع وهو أكبر بحر مغلق في العالم، يبلغ طول بحر قزوين 1,200 كيلو متر بعرض يصل لـ 300 كيلو متر، ويبلغ أقصى عمق له 1023 م، وتطل على بحر قزوين خمسة دول هي روسيا وإيران وأذربيجان وتركمانستان وكازاخستان.",بحر قزوين,Factoid
"حالة توقف القلب عن العمل بسبب خلل في منظومة القلب تؤدي إلى ارتجاف البطينين بدل انقباضهما، الأمر الذي يؤدي إلى توقف الدورة الدموية ومن ثم إلى الوفاة بالسكتة القلبية إن لم يتم تدارك الأمر علاجياً خلال دقائق معدودة من خلال عملية الإنعاش القلبي الرئوي",19,ما هو الرجفان البطيني؟,"الرجفان البطيني هو حالة توقف القلب عن العمل بسبب خلل في منظومة القلب تؤدي إلى ارتجاف البطينين بدل انقباضهما، الأمر الذي يؤدي إلى توقف الدورة الدموية ومن ثم إلى الوفاة بالسكتة القلبية إن لم يتم تدارك الأمر علاجياً خلال دقائق معدودة من خلال عملية الإنعاش القلبي الرئوي.",رجفان بطيني,Non-factoid
السبع,49,كم عدد امارات الأمارات العربية المتحدة؟,"ترجع تسمية الإمارات العربية المتحدة إلى الإمارات السبع التي شكلت اتحاداً فيما بينها، وهي: إمارة أبوظبي وإمارة دبي وإمارة عجمان وإمارة الشارقة وإمارة رأس الخيمة وإمارة أم القيوين وإمارة الفجيرة.[6]",الإمارات العربية المتحدة,Factoid
عملية كيميائية معقدة تحدث في خلايا البكتيريا الزرقاء وفي صانعات اليخضور (الصانعات الخضراء) أو الكلوروبلاست في كل من الطحالب والنباتات العليا,59,ما هي عملية التركيب الضوئي؟,  البِناء الضوئي (أو التمثيل أو التخليق أو التركيب الضوئي) عملية كيميائية معقدة تحدث في خلايا البكتيريا الزرقاء وفي صانعات اليخضور (الصانعات الخضراء) أو الكلوروبلاست في كل من الطحالب والنباتات العليا؛ حيث يتم فيها تحويل الطاقة الضوئية الشمسية من طاقة كهرومغناطيسية على شكل فوتونات أشعة الشمس إلى طاقة كيميائية تخزن في روابط سكر الجلوكوز وفق المعادلة التالية:,تركيب ضوئي,Non-factoid
"مهندس ومخترع وكيميائي سويدي، اخترع الديناميت في سنة 1867 ومن ثم أوصى بمعظم ثروته التي جناها من الاختراع إلى جائزة نوبل التي سُميت بإسمه",46,من هو ألفرد نوبل؟,"ألفرد نوبل (21 أكتوبر 1833 - 10 ديسمبر 1896)، مهندس ومخترع وكيميائي سويدي، اخترع الديناميت في سنة 1867 ومن ثم أوصى بمعظم ثروته التي جناها من الاختراع إلى جائزة نوبل التي سُميت بإسمه.",ألفرد نوبل,Non-factoid
كابريزي,26,أين ولد ميكيلانجيلو؟,"  ولد ميكيلانجيلو في قرية كابريزي قرب أريتسو بتوسكانا وترعرع في فلورنسا،[10] التي كانت مركز النهضة الأوروبية آنذاك، ومن محيطها المليء بمنجزات فناني النهضة السابقين إلى تحف الإغريق المذهلة، استطاع أن يتعلم ويستقي منها الكثير عن فن النحت والرسم. كانت أسرة ميكيلانجيلو من أبرز المصرفيين الصغار في فلورنسا، لكن والده، ""لودفيكو دي ليوناردو دي بوناروتي دي سيموني""، شذ عن باقي أفراد العائلة، وشغل عدّة مناصب حكومية خلال حياته،[11] أما والدته فهي ""فرانشيسكا دي نيري دل مينياتو دي سيينا"".[12] زعمت أسرة بوناروتي أن أبنائها يتحدرون من ""ماتيلدي التوسكانية"" وهي إحدى نبيلات إيطاليا القديمات، وعلى الرغم من أن هذا الزعم ما زال غير مؤكد، إلا أن ميكيلانجيلو نفسه كان مؤمنًا به.[13] بعد بضعة أشهر من ولادة ميكيلانجيلو، عادت أسرته إلى فلورنسا، حيث قضى سنوات صباه، وفي سنة 1481، أي عندما كان يبلغ من العمر ست سنوات فحسب، توفيت والدته بعد صراع طويل مع المرض، فانتقل ميكيلانجيلو ليعيش مع أسرة رجل يعمل في قلع الحجارة ببلدة ""سيتيغنانو""، حيث كان ولده يملك مقلعًا للرخام ومزرعة صغيرة.[12] أفاد جورجو فازاري أن ميكيلانجيلو قال: .[10]  أقدم والد ميكيلانجيلو، الذي كان قاضياً على بلدة كابريزي في ذلك الوقت،[14] على إرسال ولده إلى المعلّم ""فرانشيسكو دا أوربينو"" في فلورنسا، حتى يتعلّم قواعد اللغة،[10][15] لكن الفتى لم يُظهر ميلاً نحو العلم، بل كثيرًا ما كان يُفضل نسخ اللوحات في الكنائس، ويميل إلى صحبة الفنانين والرسامين.[15] في النهاية وافق الأب على رغبة ولده وسمح لهذا الصبي ذو ثلاثة عشر ربيعاً بأن يعمل لدى رسام جص يدعى دومينيكو غرلاندايو،[16][17] وعندما بلغ ميكيلانجيلو عامه الرابع عشر، كان والده قد أقنع دومنيكو بأن يُعلن تلميذه رسامًا.[18] يُعرف أن ميكيلانجيلو لم يستطع التوافق مع معلمه وكثيرًا ما كان يصطدم معه مما حذا به لينهي عمله لديه بعد أقل من سنة.[19] في عام 1489، طلب لورينزو دي ميديشي، حاكم فلورنسا بحكم الأمر الواقع، طلب من دومينيكو غرلاندايو أن يُرسل إليه أفضل طالبين في عهدته، فأرسل إليه الأخير كلاً من ميكيلانجيلو وفرانشيسكو غراناسي.[20] خلال الفترة الممتدة من عام 1490 حتى عام 1492، التحق ميكيلانجيلو بالمدرسة الإنسانية التي أسستها أسرة ميديشي لتدريس الفلسفة الإفلاطونية المحدثة، حيث تعلّم النحت على يد ""بيرتولدو دي جيوفاني""، وتأثرت نظرته إلى الحياة وأنماط فنّه بآراء ونظريات الكثير من الفلاسفة والكتّأب المعروفين في ذلك الزمن، مثل: مارسيليو فيسينو، بيكو ديلا ميراندولا، وأنجلو بوليزيانو.[21] خلال هذه الفترة، أتمّ ميكيلانجيلو العمل على نقش ""سيدة الأدراج"" (1490–1492) ومعركة القناطرة (1491–1492)، وقد كانت الأخيرة مبنية على فكرة اقترحها أنجلو بوليزيانو، وكلّفه بها لورينزو دي ميديشي.[22] أدّى إعجاب بيرتولدو دي جيوفاني بعمل تلميذه أشد الإعجاب، إلى تولّد شعور بالغيرة عند زميل ميكيلانجيلو المدعو ""بيترو توريغيانو""، فضربه على أنفه ضربةً قوية شوهت شكله، ويظهر هذا التشوه بشكل واضح في كل الرسومات الشخصية لوجه ميكيلانجيلو.[23]  على الرغم من إنكار ميكيلانجيلو لفضل غيرلاندايو في تعليمه أي شيء إلا أنه من الواضح أنه تعلم منه فن الرسم الجداري حيث أن رسومه الأولية كانت قد أظهرت طرق ومناهج اتبعها غيرلاندايو. في الفترة الممتدة بين عاميّ 1490 و1492 أمضى وقته في منزل لورينزو دي ميديشي المعروف بلورينزو العظيم الراعي الأهم للفنون في فلورنسا وحاكمها. حيث كان المنزل مكان دائم لاجتماع الفنانين الفلاسفة والشعراء. ومن المفترض أن ميكيلانجيلو قابل وتعلم من المعلم الكهل بيرتولدو الذي كان قد تدرب مع دوناتلو فنان القرن الخامس عشر في فلورنسا.[24]",ميكيلانجيلو,Factoid
5.4 دقائق,633,ما المعدل العادي لعملية الجماع؟,"وقدم الباحثون اكتشافات متضاربة بشأن فترة انتظار القذف داخل المهبل. وفي دراسة متعددة الجنسيات،[1] عكف القائمون على دراسة 491 رجلاً في هولندا وإسبانيا وتركيا والمملكة المتحدة والولايات المتحدة. وكان الرجال يتمتعون بعلاقات جنسية مستقرة. وعلى مدى أربعة أسابيع، سجل الأزواج بيانات فترة انتظار القذف داخل المهبل باستخدام ساعة توقيت وأشاروا إلى استخدام العازل الذكري. ولم تكن هناك علاقة بين متوسط فترة انتظار القذف داخل المهبل واستخدام العازل الذكري. وتراجع متوسط فترة انتظار القذف داخل المهبل مع الأعمار (من 18 إلى 30: 6.5 دقائق، ومن 31 إلى 50: 5.4 دقائق، و51+: 4.3 دقائق). وكان متوسط فترة انتظار القذف داخل المهبل بالنسبة لجميع المشاركين 5.4 دقائق. وتفاوت متوسط فترة انتظار القذف داخل المهبل بشكل ملحوظ من قِبل الأفراد مع 14% من الرجال دون  3:20 و26% من الرجال فوق 10:00. وتشمل المشاكل المحتملة إجمالي حجم العينة وصغر حجم العينة لكل بلد وقلة الملاحظات الخاصة بكل مشارك والآثار النفسية لاستخدام ساعة التوقيت.",فترة انتظار القذف داخل المهبل,Factoid
